HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Freiburg,Greuther Furth,3,1,12,8,2,0,0,0,0
Leverkusen,Wolfsburg,0,2,12,13,0,0,0,0,0
Union Berlin,Bayern Munich,2,5,9,14,1,3,0,0,0
Ein Frankfurt,RB Leipzig,1,1,12,15,0,1,0,0,0
Hoffenheim,Hertha,2,0,14,5,2,0,0,0,0
FC Koln,Leverkusen,2,2,17,9,0,2,0,0,0
Stuttgart,Union Berlin,1,1,8,11,0,1,0,0,0
Bochum,Ein Frankfurt,2,0,19,14,1,0,0,0,0
Bayern Munich,Hoffenheim,4,0,15,9,2,0,0,0,0
Bielefeld,Dortmund,1,3,13,14,0,2,0,0,0
RB Leipzig,Greuther Furth,4,1,13,8,0,1,0,0,0
Wolfsburg,Freiburg,0,2,17,11,0,1,0,0,0
Hertha,M'gladbach,1,0,10,10,1,0,0,0,0
Mainz,Augsburg,4,1,19,6,3,0,0,0,0
Leverkusen,Bayern Munich,1,5,7,27,0,5,0,0,0
Augsburg,Bielefeld,1,1,14,10,1,0,0,0,0
Dortmund,Mainz,3,1,11,5,1,0,0,0,0
Ein Frankfurt,Hertha,1,2,13,12,0,1,0,0,0
Freiburg,RB Leipzig,1,1,15,13,0,1,0,0,0
Greuther Furth,Bochum,0,1,12,9,0,0,0,0,0
Union Berlin,Wolfsburg,2,0,6,13,0,0,0,0,0
M'gladbach,Stuttgart,1,1,31,5,1,1,0,0,0
Hoffenheim,FC Koln,5,0,14,10,1,0,0,0,0
Mainz,Union Berlin,1,2,11,15,1,0,0,0,0
Bayern Munich,Ein Frankfurt,1,2,21,5,1,1,0,0,0
Bielefeld,Leverkusen,0,4,10,19,0,2,0,0,0
Dortmund,Augsburg,2,1,17,5,1,1,0,0,0
Hertha,Freiburg,1,2,12,9,0,1,0,0,0
Stuttgart,Hoffenheim,3,1,12,13,1,0,0,0,0
Wolfsburg,M'gladbach,1,3,10,19,1,2,0,0,0
RB Leipzig,Bochum,3,0,15,9,0,0,0,0,0
FC Koln,Greuther Furth,3,1,18,7,0,1,0,0,0
Bochum,Stuttgart,0,0,14,8,0,0,0,0,0
Freiburg,Augsburg,3,0,19,8,3,0,0,0,0
Ein Frankfurt,FC Koln,1,1,10,15,1,1,0,0,0
Hoffenheim,Wolfsburg,3,1,11,13,1,1,0,0,0
Leverkusen,Mainz,1,0,16,14,0,0,0,0,0
RB Leipzig,Hertha,6,0,18,5,3,0,0,0,0
Union Berlin,Bielefeld,1,0,17,9,0,0,0,0,0
M'gladbach,Dortmund,1,0,14,8,1,0,0,0,0
Greuther Furth,Bayern Munich,1,3,11,12,0,2,0,0,0
Stuttgart,Leverkusen,1,3,18,7,1,2,0,0,0
Dortmund,Union Berlin,4,2,13,9,2,0,0,0,0
Wolfsburg,Ein Frankfurt,1,1,15,6,0,1,0,0,0
Augsburg,M'gladbach,1,0,8,11,0,0,0,0,0
